user_id,recency,frequency,monetary,clv,avg_order_value,avg_days_between_orders
409,87,87,4,348,0.13793103448275862,4.172413793103448
413,21,21,10,210,2.5,7.619047619047619
417,10,10,4,40,0.4444444444444444,18.2
422,28,28,15,420,0.3488372093023256,8.964285714285714
423,43,43,1,43,0.2,8.488372093023257
430,9,9,8,72,0.8,9.222222222222221
440,19,19,3,57,0.2,8.105263157894736
451,33,33,7,231,0.28,9.0
453,14,14,8,112,0.14545454545454545,17.0
468,7,7,4,28,0.4444444444444444,23.285714285714285
470,17,17,4,68,0.5714285714285714,7.117647058823529
474,30,30,3,90,0.10344827586206896,7.533333333333333
481,36,36,16,576,1.6,9.722222222222221
495,25,25,11,275,0.13253012048192772,12.88
496,83,83,7,581,0.7,3.3734939759036147
503,37,37,9,333,1.8,9.72972972972973
508,20,20,1,20,0.08333333333333333,11.05
521,7,7,7,49,0.6363636363636364,19.857142857142858
529,51,51,14,714,3.5,6.254901960784314
541,6,6,5,30,1.25,18.666666666666668
560,35,35,5,175,1.0,7.514285714285714
562,52,52,1,52,0.16666666666666666,4.480769230769231
568,11,11,15,165,3.75,13.636363636363637
583,35,35,27,945,3.0,9.542857142857143
585,12,12,5,60,1.0,17.666666666666668
587,13,13,8,104,0.42105263157894735,11.615384615384615
593,18,18,2,36,0.3333333333333333,15.444444444444445
631,8,8,12,96,2.0,16.625
635,24,24,5,120,0.22727272727272727,14.166666666666666
646,57,57,5,285,0.5,6.368421052631579
649,46,46,16,736,1.6,7.891304347826087
650,10,10,13,130,0.8666666666666667,14.4
652,96,96,13,1248,0.5,3.5729166666666665
653,26,26,6,156,0.6666666666666666,11.576923076923077
655,79,79,13,1027,3.25,4.620253164556962
667,76,76,10,760,0.6666666666666666,4.434210526315789
669,29,29,7,203,1.1666666666666667,7.827586206896552
672,19,19,14,266,2.0,13.631578947368421
678,22,22,17,374,1.8888888888888888,11.045454545454545
682,20,20,4,80,0.5714285714285714,12.1
688,64,64,6,384,1.5,4.171875
719,73,73,14,1022,0.5833333333333334,4.958904109589041
756,22,22,18,396,3.0,8.545454545454545
770,5,5,5,25,1.25,18.4
773,10,10,9,90,0.8181818181818182,16.8
775,9,9,12,108,3.0,19.333333333333332
786,100,100,9,900,0.21951219512195122,3.15
787,41,41,10,410,2.5,7.463414634146342
800,22,22,3,66,0.5,11.636363636363637
806,14,14,1,14,0.045454545454545456,14.0
817,16,16,14,224,0.2,19.4375
818,70,70,4,280,0.8,5.114285714285714
824,22,22,3,66,0.3,14.0
839,27,27,49,1323,4.9,10.777777777777779
849,30,30,5,150,0.625,6.166666666666667
854,84,84,22,1848,1.375,3.5833333333333335
857,47,47,15,705,0.4838709677419355,7.425531914893617
868,86,86,8,688,1.6,4.244186046511628
885,22,22,14,308,0.6086956521739131,12.909090909090908
892,13,13,13,169,0.4482758620689655,6.384615384615385
894,67,67,10,670,1.6666666666666667,5.343283582089552
898,53,53,7,371,0.6363636363636364,6.283018867924528
911,40,40,13,520,1.625,8.75
917,26,26,18,468,3.6,6.769230769230769
920,5,5,5,25,0.38461538461538464,9.4
933,33,33,5,165,0.8333333333333334,10.515151515151516
938,15,15,1,15,0.14285714285714285,20.4
961,50,50,7,350,0.25,7.22
963,49,49,8,392,0.08,4.489795918367347
964,100,100,7,700,1.1666666666666667,2.25
967,5,5,12,60,0.2033898305084746,24.0
971,25,25,2,50,0.08695652173913043,14.04
975,32,32,7,224,1.4,11.1875
978,15,15,28,420,1.8666666666666667,16.2
982,14,14,36,504,5.142857142857143,22.357142857142858
999,39,39,25,975,3.125,8.615384615384615
1000,8,8,15,120,2.5,11.75
1006,5,5,13,65,1.4444444444444444,21.4
1009,20,20,9,180,1.8,15.05
1022,79,79,1,79,0.0625,4.265822784810126
1024,100,100,2,200,0.25,0.66
1043,10,10,22,220,0.8148148148148148,21.6
1044,27,27,14,378,3.5,9.88888888888889
1050,27,27,10,270,0.7692307692307693,11.11111111111111
1059,36,36,29,1044,2.6363636363636362,7.194444444444445
1061,4,4,4,16,0.3076923076923077,16.5
1072,16,16,13,208,2.1666666666666665,6.0625
1081,8,8,5,40,0.5555555555555556,9.125
1082,9,9,4,36,0.19047619047619047,21.22222222222222
1095,32,32,15,480,0.75,10.625
1103,8,8,3,24,0.375,10.375
1105,8,8,13,104,1.4444444444444444,7.0
1120,75,75,13,975,2.6,4.066666666666666
1122,21,21,17,357,2.125,9.619047619047619
1130,50,50,5,250,0.625,6.22
1135,5,5,6,30,0.23076923076923078,17.8
1139,30,30,20,600,1.6666666666666667,12.033333333333333
1140,12,12,1,12,0.03225806451612903,13.0
1156,17,17,22,374,1.375,16.294117647058822
1164,79,79,20,1580,0.8333333333333334,4.620253164556962
1177,52,52,6,312,0.5,6.884615384615385
1191,48,48,5,240,1.25,7.4375
1202,62,62,13,806,0.3611111111111111,5.887096774193548
1203,36,36,7,252,0.6363636363636364,6.555555555555555
1210,18,18,9,162,1.8,15.833333333333334
1223,4,4,13,52,1.0,7.0
1225,27,27,16,432,2.6666666666666665,11.703703703703704
1232,25,25,2,50,0.2222222222222222,11.04
1235,9,9,15,135,0.7142857142857143,17.555555555555557
1237,29,29,25,725,0.8333333333333334,10.206896551724139
1240,63,63,12,756,0.8571428571428571,4.809523809523809
1241,14,14,8,112,0.1111111111111111,18.428571428571427
1242,72,72,2,144,0.18181818181818182,4.208333333333333
1243,11,11,3,33,0.3,17.181818181818183
1246,53,53,8,424,0.8888888888888888,3.3207547169811322
1263,27,27,5,135,0.09803921568627451,11.518518518518519
1264,51,51,11,561,1.8333333333333333,7.137254901960785
1271,49,49,21,1029,1.05,7.428571428571429
1273,8,8,3,24,0.2727272727272727,18.875
1274,11,11,7,77,1.0,24.09090909090909
1302,4,4,20,80,2.857142857142857,22.5
1321,18,18,12,216,2.4,16.944444444444443
1325,9,9,4,36,0.4444444444444444,15.222222222222221
1332,12,12,10,120,2.5,16.0
1342,7,7,7,49,0.875,7.428571428571429
1344,28,28,3,84,0.1875,12.285714285714286
1350,14,14,6,84,0.6666666666666666,9.642857142857142
1368,36,36,3,108,0.75,7.055555555555555
1372,21,21,33,693,1.5,14.285714285714286
1373,22,22,2,44,0.5,11.181818181818182
1378,80,80,28,2240,2.5454545454545454,4.55
1381,32,32,24,768,0.7741935483870968,9.0
1387,24,24,3,72,0.21428571428571427,11.208333333333334
1390,35,35,4,140,0.36363636363636365,9.857142857142858
1402,14,14,2,28,0.25,12.357142857142858
1413,9,9,24,216,1.7142857142857142,5.333333333333333
1417,11,11,1,11,0.08333333333333333,2.909090909090909
1423,8,8,32,256,0.47058823529411764,7.875
1427,67,67,4,268,0.04,5.223880597014926
1428,100,100,6,600,0.75,1.94
1437,7,7,2,14,0.04,19.0
1440,10,10,16,160,1.7777777777777777,17.5
1487,34,34,9,306,2.25,8.382352941176471
1496,25,25,6,150,0.5454545454545454,11.12
1498,33,33,15,495,3.0,9.333333333333334
1503,12,12,6,72,0.17142857142857143,24.25
1519,48,48,4,192,0.18181818181818182,7.458333333333333
1531,49,49,8,392,0.3333333333333333,7.122448979591836
1537,74,74,2,148,0.03636363636363636,4.54054054054054
1548,14,14,19,266,0.19,9.357142857142858
1549,100,100,4,400,0.2857142857142857,3.02
1553,46,46,12,552,3.0,7.195652173913044
1578,8,8,5,40,0.17857142857142858,17.5
1579,28,28,10,280,1.0,12.714285714285714
1602,10,10,6,60,0.5,19.3
1615,51,51,13,663,3.25,7.1568627450980395
1617,19,19,7,133,1.4,6.526315789473684
1623,21,21,5,105,0.5555555555555556,13.80952380952381
1627,14,14,17,238,3.4,12.785714285714286
1629,37,37,8,296,1.6,9.18918918918919
1630,5,5,15,75,3.75,9.8
1632,4,4,8,32,1.3333333333333333,22.5
1642,20,20,5,100,0.625,8.9
1657,12,12,2,24,0.06060606060606061,14.166666666666666
1658,33,33,3,99,0.15,7.484848484848484
1663,4,4,22,88,5.5,16.5
1666,100,100,7,700,0.7,3.53
1667,10,10,10,100,2.5,20.6
1672,22,22,9,198,0.45,13.636363636363637
1676,11,11,15,165,0.6818181818181818,16.0
1679,20,20,9,180,0.20930232558139536,17.7
1683,100,100,25,2500,6.25,3.03
1696,5,5,6,30,0.2608695652173913,15.6
1697,23,23,4,92,0.36363636363636365,14.652173913043478
1710,4,4,13,52,1.625,22.5
1712,21,21,16,336,2.2857142857142856,12.904761904761905
1716,64,64,32,2048,8.0,5.609375
1719,15,15,11,165,2.2,17.066666666666666
1727,41,41,13,533,3.25,8.804878048780488
1737,28,28,11,308,0.6111111111111112,11.0
1743,37,37,5,185,0.8333333333333334,9.72972972972973
1746,10,10,8,80,1.0,15.0
1748,41,41,17,697,1.7,8.707317073170731
1750,36,36,25,900,1.4705882352941178,9.63888888888889
1753,58,58,10,580,0.13333333333333333,6.103448275862069
1756,6,6,2,12,0.2857142857142857,20.5
1764,39,39,7,273,1.75,8.435897435897436
1767,24,24,3,72,0.21428571428571427,14.75
1778,13,13,4,52,0.2857142857142857,16.0
1793,60,60,13,780,3.25,6.05
1815,34,34,16,544,4.0,10.352941176470589
1824,14,14,5,70,0.5,16.142857142857142
1828,18,18,20,360,2.857142857142857,16.333333333333332
1839,6,6,6,36,0.15789473684210525,11.333333333333334
1850,61,61,40,2440,2.0,5.950819672131147
1859,39,39,37,1443,7.4,9.23076923076923
1862,44,44,2,88,0.14285714285714285,5.681818181818182
1866,98,98,9,882,1.2857142857142858,3.6530612244897958
1867,7,7,4,28,0.04,17.285714285714285
1868,100,100,11,1100,2.2,2.71
1873,7,7,8,56,0.38095238095238093,15.428571428571429
1874,21,21,6,126,0.8571428571428571,11.476190476190476
1899,25,25,57,1425,14.25,13.12
1901,10,10,14,140,2.8,15.3
1920,12,12,41,492,6.833333333333333,13.5
1922,6,6,7,42,0.3181818181818182,18.5
1923,22,22,12,264,0.6666666666666666,14.590909090909092
1930,63,63,6,378,0.6666666666666666,5.079365079365079
1932,4,4,11,44,0.7333333333333333,20.25
1937,10,10,6,60,0.8571428571428571,9.8
1943,58,58,8,464,1.0,6.258620689655173
1948,52,52,13,676,1.4444444444444444,6.153846153846154
1955,37,37,16,592,2.0,9.81081081081081
1958,100,100,13,1300,2.6,2.86
1976,12,12,3,36,0.25,10.5
1983,56,56,17,952,1.0,6.5
1989,6,6,22,132,0.5238095238095238,14.833333333333334
1992,36,36,13,468,0.5,5.833333333333333
1993,26,26,10,260,1.6666666666666667,13.26923076923077
2011,48,48,7,336,0.2916666666666667,6.354166666666667
2013,27,27,7,189,1.75,5.296296296296297
2018,8,8,3,24,0.0967741935483871,21.25
2022,35,35,13,455,2.6,6.428571428571429
2033,25,25,10,250,0.9090909090909091,7.72
2049,65,65,3,195,0.3,4.538461538461538
2053,21,21,1,21,0.2,13.238095238095237
2055,86,86,10,860,0.7692307692307693,4.244186046511628
2059,5,5,8,40,1.1428571428571428,8.6
2075,32,32,8,256,0.7272727272727273,3.8125
2083,14,14,3,42,0.75,14.5
2084,4,4,2,8,0.14285714285714285,16.25
2086,16,16,13,208,0.8666666666666667,18.5
2092,5,5,1,5,0.14285714285714285,17.0
2103,10,10,1,10,0.16666666666666666,12.2
2115,21,21,2,42,0.15384615384615385,9.476190476190476
2117,20,20,23,460,0.8518518518518519,8.8
2118,27,27,16,432,0.8,11.703703703703704
2121,12,12,19,228,1.7272727272727273,16.333333333333332
2130,39,39,5,195,0.7142857142857143,8.615384615384615
2131,7,7,15,105,1.875,12.285714285714286
2150,18,18,7,126,0.5384615384615384,12.722222222222221
2152,6,6,2,12,0.1111111111111111,19.666666666666668
2160,32,32,13,416,1.8571428571428572,10.28125
2162,32,32,1,32,0.018518518518518517,9.53125
2173,8,8,4,32,0.5,20.75
2175,25,25,12,300,1.5,11.92
2184,38,38,6,228,0.42857142857142855,9.342105263157896
2201,11,11,22,242,2.2,17.181818181818183
2211,56,56,17,952,0.53125,4.696428571428571
2215,61,61,2,122,0.04878048780487805,4.475409836065574
2225,82,82,23,1886,3.2857142857142856,4.378048780487805
2229,33,33,28,924,1.3333333333333333,9.575757575757576
2237,25,25,4,100,1.0,13.52
2246,18,18,6,108,1.2,19.5
2258,48,48,88,4224,6.285714285714286,7.479166666666667
2262,38,38,11,418,2.2,6.684210526315789
2267,18,18,10,180,0.3448275862068966,14.166666666666666
2278,38,38,16,608,1.3333333333333333,9.447368421052632
2282,22,22,1,22,0.2,10.727272727272727
2286,26,26,13,338,2.6,11.038461538461538
2299,4,4,4,16,1.0,10.75
2312,21,21,11,231,0.36666666666666664,14.904761904761905
2313,30,30,7,210,1.75,11.366666666666667
2315,10,10,2,20,0.16666666666666666,20.3
2329,10,10,6,60,1.0,17.5
2330,6,6,9,54,1.8,19.666666666666668
2334,23,23,5,115,0.1111111111111111,13.347826086956522
2335,45,45,52,2340,1.793103448275862,8.0
2337,4,4,2,8,0.25,22.25
2342,18,18,18,324,3.0,14.38888888888889
2344,90,90,10,900,0.7692307692307693,4.033333333333333
2366,31,31,3,93,0.42857142857142855,11.64516129032258
2371,27,27,7,189,1.0,6.888888888888889
2375,18,18,6,108,1.5,13.277777777777779
2383,69,69,9,621,1.5,5.260869565217392
2399,85,85,14,1190,3.5,4.294117647058823
2408,9,9,6,54,0.12244897959183673,7.0
2420,13,13,30,390,5.0,13.692307692307692
2423,18,18,21,378,1.0,13.444444444444445
2440,46,46,25,1150,2.0833333333333335,7.434782608695652
2443,21,21,20,420,2.0,13.238095238095237
2456,54,54,5,270,1.0,5.37037037037037
2461,18,18,7,126,0.2916666666666667,8.0
2462,24,24,32,768,4.0,11.666666666666666
2474,36,36,19,684,1.0555555555555556,9.88888888888889
2475,18,18,6,108,0.24,15.61111111111111
2486,10,10,15,150,1.3636363636363635,17.4
2495,34,34,15,510,0.26785714285714285,10.0
2496,56,56,26,1456,0.8666666666666667,6.5
2514,35,35,4,140,0.6666666666666666,10.428571428571429
2515,6,6,6,36,0.3333333333333333,10.833333333333334
2529,20,20,17,340,0.9444444444444444,9.15
2531,63,63,5,315,1.25,5.301587301587301
2533,26,26,4,104,0.19047619047619047,6.0
2535,71,71,18,1278,2.5714285714285716,5.126760563380282
2539,51,51,4,204,0.5,6.823529411764706
2542,18,18,5,90,0.7142857142857143,13.11111111111111
2547,6,6,1,6,0.09090909090909091,3.5
2550,42,42,2,84,0.16666666666666666,8.571428571428571
2555,44,44,2,88,0.046511627906976744,8.204545454545455
2556,43,43,1,43,0.25,8.44186046511628
2558,21,21,12,252,3.0,14.142857142857142
2565,12,12,22,264,0.6285714285714286,18.083333333333332
2578,14,14,15,210,3.75,8.714285714285714
2590,18,18,3,54,0.07317073170731707,12.5
2593,30,30,28,840,7.0,8.666666666666666
2599,4,4,18,72,1.3846153846153846,20.0
2604,98,98,22,2156,1.8333333333333333,3.5816326530612246
2609,44,44,6,264,0.25,6.340909090909091
2614,18,18,13,234,2.6,13.0
2627,25,25,10,250,0.45454545454545453,13.8
2638,37,37,13,481,1.8571428571428572,6.783783783783784
2642,10,10,2,20,0.2222222222222222,25.2
2646,61,61,7,427,1.75,5.950819672131147
2650,63,63,7,441,0.6363636363636364,5.111111111111111
2655,35,35,6,210,1.2,9.6
2658,71,71,5,355,0.2777777777777778,3.5492957746478875
2668,19,19,13,247,1.625,8.210526315789474
2676,52,52,18,936,2.5714285714285716,7.0
2688,82,82,38,3116,1.0555555555555556,4.426829268292683
2689,36,36,16,576,0.3333333333333333,8.0
2698,12,12,8,96,1.3333333333333333,13.5
2700,15,15,1,15,0.03225806451612903,2.533333333333333
2735,89,89,46,4094,2.7058823529411766,4.078651685393258
2739,7,7,6,42,0.4,22.428571428571427
2754,16,16,5,80,0.45454545454545453,3.625
2758,9,9,6,54,1.5,7.888888888888889
2776,20,20,19,380,1.0,11.55
2777,19,19,6,114,0.3157894736842105,14.842105263157896
2785,55,55,8,440,0.27586206896551724,6.454545454545454
2797,11,11,5,55,0.625,7.909090909090909
2807,54,54,2,108,0.07142857142857142,6.7592592592592595
2808,28,28,4,112,1.0,11.928571428571429
2822,10,10,14,140,0.9333333333333333,8.5
2823,15,15,13,195,1.625,16.0
2825,40,40,3,120,0.3,9.0
2830,32,32,16,512,3.2,11.375
2833,11,11,2,22,0.08,11.636363636363637
2838,11,11,6,66,1.0,14.909090909090908
2839,6,6,13,78,1.3,16.166666666666668
2849,46,46,5,230,0.20833333333333334,7.8478260869565215
2868,31,31,28,868,4.0,10.096774193548388
2876,17,17,4,68,0.2857142857142857,14.411764705882353
2879,31,31,4,124,0.23529411764705882,11.129032258064516
2880,17,17,2,34,0.09090909090909091,7.882352941176471
2887,19,19,12,228,1.7142857142857142,15.473684210526315
2899,63,63,8,504,1.3333333333333333,5.523809523809524
2904,27,27,5,135,0.45454545454545453,6.407407407407407
2917,31,31,10,310,1.4285714285714286,10.0
2924,11,11,12,132,3.0,9.454545454545455
2947,31,31,10,310,1.4285714285714286,10.419354838709678
2964,61,61,3,183,0.11538461538461539,2.180327868852459
2970,20,20,8,160,1.6,15.95
2976,33,33,11,363,0.7333333333333333,9.151515151515152
2985,29,29,9,261,0.8181818181818182,11.517241379310345
2989,26,26,10,260,0.9090909090909091,7.076923076923077
3001,18,18,6,108,1.2,16.166666666666668
3002,5,5,6,30,0.6,15.6
3004,26,26,13,338,1.1818181818181819,12.73076923076923
3007,33,33,5,165,1.25,10.454545454545455
3040,6,6,7,42,1.1666666666666667,16.0
3051,12,12,17,204,1.0,11.0
3060,10,10,3,30,0.375,14.9
3097,32,32,7,224,0.23333333333333334,9.0
3106,26,26,3,78,0.10714285714285714,10.846153846153847
3107,28,28,1,28,0.038461538461538464,11.035714285714286
3108,26,26,4,104,0.23529411764705882,6.1923076923076925
3121,16,16,6,96,0.3333333333333333,18.5
3140,17,17,16,272,2.0,17.529411764705884
3148,57,57,16,912,4.0,6.385964912280702
3159,12,12,10,120,2.0,18.916666666666668
3192,5,5,7,35,1.4,21.0
3209,8,8,11,88,0.2894736842105263,18.0
3219,52,52,15,780,0.6,6.75
3242,28,28,22,616,2.2,11.178571428571429
3243,10,10,14,140,2.3333333333333335,21.5
3252,42,42,2,84,0.4,8.238095238095237
3255,91,91,8,728,0.16666666666666666,3.901098901098901
3257,22,22,4,88,0.4444444444444444,6.363636363636363
3267,11,11,9,99,0.75,6.7272727272727275
3269,82,82,8,656,2.0,4.402439024390244
3273,52,52,27,1404,6.75,7.019230769230769
3280,18,18,7,126,1.75,15.277777777777779
3283,44,44,7,308,0.3888888888888889,5.136363636363637
3319,7,7,23,161,2.5555555555555554,20.428571428571427
3321,33,33,11,363,1.2222222222222223,10.545454545454545
3326,29,29,13,377,1.0,12.379310344827585
3327,13,13,6,78,0.75,18.692307692307693
3351,4,4,12,48,2.0,18.75
3357,23,23,14,322,0.4827586206896552,14.391304347826088
3358,29,29,26,754,5.2,12.0
3366,4,4,6,24,0.6666666666666666,19.25
3375,46,46,5,230,1.25,7.869565217391305
3377,100,100,3,300,0.09090909090909091,3.19
3378,33,33,7,231,0.30434782608695654,9.727272727272727
3387,27,27,3,81,0.6,12.925925925925926
3393,20,20,6,120,0.09230769230769231,11.9
3394,65,65,4,260,0.5714285714285714,5.246153846153846
3412,59,59,19,1121,1.7272727272727273,6.067796610169491
3417,37,37,30,1110,0.36585365853658536,8.945945945945946
3422,52,52,10,520,1.6666666666666667,7.0
3428,26,26,16,416,1.4545454545454546,11.192307692307692
3434,8,8,4,32,0.1,12.625
3435,40,40,7,280,1.1666666666666667,8.725
3453,23,23,1,23,0.058823529411764705,15.08695652173913
3456,43,43,10,430,1.0,6.953488372093023
3459,4,4,16,64,1.0,20.25
3475,93,93,6,558,1.5,3.838709677419355
3481,32,32,6,192,0.2727272727272727,11.34375
3484,63,63,2,126,0.045454545454545456,5.746031746031746
3485,44,44,9,396,1.8,8.272727272727273
3493,17,17,7,119,0.3181818181818182,16.294117647058822
3513,12,12,19,228,0.19,21.416666666666668
3514,100,100,3,300,0.6,1.22
3534,15,15,7,105,1.4,17.0
3536,65,65,57,3705,6.333333333333333,5.2615384615384615
3546,12,12,11,132,2.75,14.666666666666666
3549,37,37,25,925,1.3157894736842106,8.567567567567568
3550,19,19,5,95,0.19230769230769232,17.05263157894737
3558,48,48,3,144,0.3,7.5625
3562,28,28,1,28,0.25,11.785714285714286
3569,10,10,4,40,0.23529411764705882,19.1
3571,27,27,5,135,0.20833333333333334,5.111111111111111
3572,24,24,12,288,1.3333333333333333,12.125
3579,80,80,26,2080,1.1304347826086956,4.55
3582,19,19,4,76,0.6666666666666666,14.263157894736842
3583,6,6,2,12,0.03076923076923077,22.5
3584,65,65,10,650,2.0,5.584615384615384
3593,84,84,6,504,0.2222222222222222,4.345238095238095
3597,53,53,29,1537,4.833333333333333,6.867924528301887
3599,10,10,3,30,0.06,10.0
3612,64,64,1,64,0.25,5.40625
3615,24,24,2,48,0.2857142857142857,5.541666666666667
3616,7,7,10,70,0.37037037037037035,12.285714285714286
3626,42,42,11,462,0.7333333333333333,8.595238095238095
3628,9,9,17,153,0.8095238095238095,20.22222222222222
3633,7,7,5,35,0.125,18.714285714285715
3634,40,40,9,360,0.5625,4.25
3644,20,20,5,100,0.5555555555555556,10.8
3646,7,7,13,91,3.25,19.571428571428573
3648,37,37,8,296,1.3333333333333333,8.675675675675675
3651,33,33,11,363,0.2682926829268293,10.424242424242424
3656,12,12,13,156,0.7222222222222222,14.083333333333334
3657,18,18,4,72,0.4444444444444444,15.555555555555555
3667,39,39,1,39,0.25,8.333333333333334
3671,10,10,17,170,1.2142857142857142,25.4
3677,9,9,8,72,2.0,8.444444444444445
3680,27,27,4,108,0.17391304347826086,5.962962962962963
3683,21,21,10,210,2.5,8.0
3688,13,13,3,39,0.17647058823529413,17.846153846153847
3708,6,6,10,60,1.0,5.166666666666667
3725,35,35,9,315,0.3103448275862069,8.17142857142857
3741,41,41,3,123,0.03,8.268292682926829
3755,7,7,19,133,4.75,23.0
3758,7,7,4,28,0.3333333333333333,13.142857142857142
3770,59,59,7,413,0.5833333333333334,6.135593220338983
3773,9,9,11,99,2.2,19.0
3782,52,52,27,1404,4.5,6.9423076923076925
3787,87,87,5,435,0.8333333333333334,4.195402298850575
3789,20,20,20,400,3.3333333333333335,12.0
3804,28,28,1,28,0.2,7.178571428571429
3807,45,45,13,585,0.5652173913043478,7.8
3818,23,23,13,299,1.1818181818181819,12.652173913043478
3823,20,20,14,280,0.7368421052631579,10.65
3827,68,68,10,680,0.625,2.5441176470588234
3828,16,16,5,80,0.35714285714285715,15.625
3829,14,14,7,98,0.08235294117647059,14.785714285714286
3830,85,85,43,3655,4.3,4.270588235294118
3905,56,56,7,392,0.5,6.410714285714286
3937,6,6,15,90,2.5,19.666666666666668
3947,5,5,4,20,0.36363636363636365,21.8
3961,8,8,17,136,1.7,12.625
3962,10,10,13,130,1.625,13.3
3963,8,8,17,136,0.2833333333333333,11.0
3964,60,60,23,1380,1.7692307692307692,5.45
3974,49,49,43,2107,10.75,7.142857142857143
3976,13,13,12,156,1.2,6.3076923076923075
3985,46,46,8,368,2.0,5.021739130434782
3990,27,27,22,594,1.5714285714285714,11.25925925925926
3994,11,11,6,66,1.2,13.727272727272727
4004,37,37,8,296,2.0,9.756756756756756
4006,43,43,1,43,0.1,6.511627906976744
4018,6,6,3,18,0.375,14.833333333333334
4041,28,28,9,252,1.2857142857142858,11.5
4048,21,21,17,357,4.25,13.761904761904763
4057,8,8,14,112,2.8,20.125
4058,5,5,13,65,1.625,24.0
4061,5,5,12,60,3.0,21.0
4066,7,7,8,56,0.11267605633802817,10.0
4067,71,71,7,497,1.1666666666666667,4.605633802816901
4069,29,29,4,116,1.0,9.586206896551724
4076,48,48,15,720,1.3636363636363635,7.583333333333333
4087,46,46,12,552,3.0,7.913043478260869
4090,54,54,14,756,0.875,6.7592592592592595
4099,35,35,7,245,0.30434782608695654,9.485714285714286
4111,14,14,9,126,1.2857142857142858,10.5
4118,45,45,17,765,0.288135593220339,7.355555555555555
4121,22,22,12,264,0.2926829268292683,13.363636363636363
4122,41,41,2,82,0.11764705882352941,8.707317073170731
4129,22,22,6,132,0.13333333333333333,16.40909090909091
4130,45,45,12,540,0.75,7.688888888888889
4141,10,10,10,100,2.0,24.3
4166,51,51,15,765,1.25,7.019607843137255
4171,19,19,3,57,0.23076923076923078,12.263157894736842
4176,42,42,12,504,0.24,5.761904761904762
4178,20,20,27,540,0.7714285714285715,15.85
4189,11,11,7,77,0.5384615384615384,19.454545454545453
4199,100,100,12,1200,2.4,3.44
4200,5,5,10,50,1.0,20.0
4201,10,10,15,150,2.5,12.1
4207,4,4,3,12,0.07142857142857142,20.25
4209,22,22,10,220,1.0,12.727272727272727
4216,12,12,13,156,1.8571428571428572,11.0
4218,24,24,64,1536,9.142857142857142,13.791666666666666
4220,37,37,4,148,0.36363636363636365,7.945945945945946
4252,24,24,4,96,0.4,13.958333333333334
4267,50,50,8,400,1.6,6.46
4280,18,18,1,18,0.010416666666666666,13.777777777777779
4281,96,96,2,192,0.09090909090909091,3.8020833333333335
4282,22,22,14,308,1.2727272727272727,13.681818181818182
4295,8,8,9,72,1.8,10.75
