user_id,recency,frequency,monetary,clv,avg_order_value,avg_days_between_orders,cluster,customer_type,churn
587,13,13,8,104,0.4210526315789473,11.615384615384617,0,Low Engagement User,0
593,18,18,2,36,0.3333333333333333,15.444444444444445,0,Low Engagement User,0
631,8,8,12,96,2.0,16.625,0,Low Engagement User,0
635,24,24,5,120,0.2272727272727272,14.166666666666666,0,Low Engagement User,0
646,57,57,5,285,0.5,6.368421052631579,2,High-Value Customer,1
649,46,46,16,736,1.6,7.891304347826087,2,High-Value Customer,1
650,10,10,13,130,0.8666666666666667,14.4,0,Low Engagement User,0
652,96,96,13,1248,0.5,3.5729166666666665,1,At-Risk Customer,1
653,26,26,6,156,0.6666666666666666,11.576923076923077,0,Low Engagement User,0
655,79,79,13,1027,3.25,4.620253164556962,1,At-Risk Customer,1
667,76,76,10,760,0.6666666666666666,4.434210526315789,1,At-Risk Customer,1
669,29,29,7,203,1.1666666666666667,7.827586206896552,0,Low Engagement User,0
672,19,19,14,266,2.0,13.63157894736842,0,Low Engagement User,0
678,22,22,17,374,1.8888888888888888,11.045454545454543,0,Low Engagement User,0
682,20,20,4,80,0.5714285714285714,12.1,0,Low Engagement User,0
688,64,64,6,384,1.5,4.171875,1,At-Risk Customer,1
719,73,73,14,1022,0.5833333333333334,4.958904109589041,1,At-Risk Customer,1
756,22,22,18,396,3.0,8.545454545454545,0,Low Engagement User,0
770,5,5,5,25,1.25,18.4,0,Low Engagement User,0
773,10,10,9,90,0.8181818181818182,16.8,0,Low Engagement User,0
775,9,9,12,108,3.0,19.33333333333333,0,Low Engagement User,0
786,100,100,9,900,0.2195121951219512,3.15,1,At-Risk Customer,1
787,41,41,10,410,2.5,7.463414634146342,2,High-Value Customer,0
800,22,22,3,66,0.5,11.636363636363637,0,Low Engagement User,0
806,14,14,1,14,0.0454545454545454,14.0,0,Low Engagement User,0
817,16,16,14,224,0.2,19.4375,0,Low Engagement User,0
818,70,70,4,280,0.8,5.114285714285714,1,At-Risk Customer,1
824,22,22,3,66,0.3,14.0,0,Low Engagement User,0
839,27,27,49,1323,4.9,10.77777777777778,2,High-Value Customer,0
849,30,30,5,150,0.625,6.166666666666667,0,Low Engagement User,0
854,84,84,22,1848,1.375,3.583333333333333,1,At-Risk Customer,1
857,47,47,15,705,0.4838709677419355,7.425531914893617,2,High-Value Customer,1
868,86,86,8,688,1.6,4.244186046511628,1,At-Risk Customer,1
885,22,22,14,308,0.6086956521739131,12.909090909090908,0,Low Engagement User,0
892,13,13,13,169,0.4482758620689655,6.384615384615385,0,Low Engagement User,0
894,67,67,10,670,1.6666666666666667,5.343283582089552,1,At-Risk Customer,1
898,53,53,7,371,0.6363636363636364,6.283018867924528,2,High-Value Customer,1
911,40,40,13,520,1.625,8.75,2,High-Value Customer,0
917,26,26,18,468,3.6,6.769230769230769,2,High-Value Customer,0
920,5,5,5,25,0.3846153846153846,9.4,0,Low Engagement User,0
933,33,33,5,165,0.8333333333333334,10.515151515151516,0,Low Engagement User,0
938,15,15,1,15,0.1428571428571428,20.4,0,Low Engagement User,0
961,50,50,7,350,0.25,7.22,2,High-Value Customer,1
963,49,49,8,392,0.08,4.489795918367347,2,High-Value Customer,1
964,100,100,7,700,1.1666666666666667,2.25,1,At-Risk Customer,1
967,5,5,12,60,0.2033898305084746,24.0,0,Low Engagement User,0
971,25,25,2,50,0.0869565217391304,14.04,0,Low Engagement User,0
975,32,32,7,224,1.4,11.1875,0,Low Engagement User,0
978,15,15,28,420,1.8666666666666667,16.2,0,Low Engagement User,0
982,14,14,36,504,5.142857142857143,22.357142857142858,2,High-Value Customer,0
999,39,39,25,975,3.125,8.615384615384615,2,High-Value Customer,0
1000,8,8,15,120,2.5,11.75,0,Low Engagement User,0
1006,5,5,13,65,1.4444444444444444,21.4,0,Low Engagement User,0
1009,20,20,9,180,1.8,15.05,0,Low Engagement User,0
1022,79,79,1,79,0.0625,4.265822784810126,1,At-Risk Customer,1
1024,100,100,2,200,0.25,0.66,1,At-Risk Customer,1
1043,10,10,22,220,0.8148148148148148,21.6,0,Low Engagement User,0
1044,27,27,14,378,3.5,9.88888888888889,2,High-Value Customer,0
1050,27,27,10,270,0.7692307692307693,11.11111111111111,0,Low Engagement User,0
1059,36,36,29,1044,2.636363636363636,7.194444444444445,2,High-Value Customer,0
1061,4,4,4,16,0.3076923076923077,16.5,0,Low Engagement User,0
1072,16,16,13,208,2.1666666666666665,6.0625,0,Low Engagement User,0
1081,8,8,5,40,0.5555555555555556,9.125,0,Low Engagement User,0
1082,9,9,4,36,0.1904761904761904,21.22222222222222,0,Low Engagement User,0
1095,32,32,15,480,0.75,10.625,2,High-Value Customer,0
1103,8,8,3,24,0.375,10.375,0,Low Engagement User,0
1105,8,8,13,104,1.4444444444444444,7.0,0,Low Engagement User,0
1120,75,75,13,975,2.6,4.066666666666666,1,At-Risk Customer,1
1122,21,21,17,357,2.125,9.61904761904762,0,Low Engagement User,0
1130,50,50,5,250,0.625,6.22,2,High-Value Customer,1
1135,5,5,6,30,0.2307692307692307,17.8,0,Low Engagement User,0
1139,30,30,20,600,1.6666666666666667,12.033333333333331,2,High-Value Customer,0
1140,12,12,1,12,0.032258064516129,13.0,0,Low Engagement User,0
1156,17,17,22,374,1.375,16.294117647058822,0,Low Engagement User,0
1164,79,79,20,1580,0.8333333333333334,4.620253164556962,1,At-Risk Customer,1
1177,52,52,6,312,0.5,6.884615384615385,2,High-Value Customer,1
1191,48,48,5,240,1.25,7.4375,2,High-Value Customer,1
1202,62,62,13,806,0.3611111111111111,5.887096774193548,1,At-Risk Customer,1
1203,36,36,7,252,0.6363636363636364,6.555555555555555,2,High-Value Customer,0
1210,18,18,9,162,1.8,15.833333333333334,0,Low Engagement User,0
1223,4,4,13,52,1.0,7.0,0,Low Engagement User,0
1225,27,27,16,432,2.6666666666666665,11.703703703703704,2,High-Value Customer,0
1232,25,25,2,50,0.2222222222222222,11.04,0,Low Engagement User,0
1235,9,9,15,135,0.7142857142857143,17.555555555555557,0,Low Engagement User,0
1237,29,29,25,725,0.8333333333333334,10.20689655172414,2,High-Value Customer,0
1240,63,63,12,756,0.8571428571428571,4.809523809523809,1,At-Risk Customer,1
1241,14,14,8,112,0.1111111111111111,18.428571428571427,0,Low Engagement User,0
1242,72,72,2,144,0.1818181818181818,4.208333333333333,1,At-Risk Customer,1
1243,11,11,3,33,0.3,17.181818181818183,0,Low Engagement User,0
1246,53,53,8,424,0.8888888888888888,3.320754716981132,2,High-Value Customer,1
1263,27,27,5,135,0.0980392156862745,11.51851851851852,0,Low Engagement User,0
1264,51,51,11,561,1.8333333333333333,7.137254901960785,2,High-Value Customer,1
1271,49,49,21,1029,1.05,7.428571428571429,2,High-Value Customer,1
1273,8,8,3,24,0.2727272727272727,18.875,0,Low Engagement User,0
1274,11,11,7,77,1.0,24.09090909090909,0,Low Engagement User,0
1302,4,4,20,80,2.857142857142857,22.5,0,Low Engagement User,0
1321,18,18,12,216,2.4,16.944444444444443,0,Low Engagement User,0
1325,9,9,4,36,0.4444444444444444,15.22222222222222,0,Low Engagement User,0
1332,12,12,10,120,2.5,16.0,0,Low Engagement User,0
1342,7,7,7,49,0.875,7.428571428571429,0,Low Engagement User,0
1344,28,28,3,84,0.1875,12.285714285714286,0,Low Engagement User,0
1350,14,14,6,84,0.6666666666666666,9.642857142857142,0,Low Engagement User,0
1368,36,36,3,108,0.75,7.055555555555555,2,High-Value Customer,0
1372,21,21,33,693,1.5,14.285714285714286,2,High-Value Customer,0
1373,22,22,2,44,0.5,11.181818181818182,0,Low Engagement User,0
1378,80,80,28,2240,2.5454545454545454,4.55,1,At-Risk Customer,1
1381,32,32,24,768,0.7741935483870968,9.0,2,High-Value Customer,0
1387,24,24,3,72,0.2142857142857142,11.208333333333334,0,Low Engagement User,0
1390,35,35,4,140,0.3636363636363636,9.857142857142858,2,High-Value Customer,0
1402,14,14,2,28,0.25,12.357142857142858,0,Low Engagement User,0
1413,9,9,24,216,1.7142857142857142,5.333333333333333,0,Low Engagement User,0
1417,11,11,1,11,0.0833333333333333,2.909090909090909,0,Low Engagement User,0
1423,8,8,32,256,0.4705882352941176,7.875,0,Low Engagement User,0
1427,67,67,4,268,0.04,5.223880597014926,1,At-Risk Customer,1
1428,100,100,6,600,0.75,1.94,1,At-Risk Customer,1
1437,7,7,2,14,0.04,19.0,0,Low Engagement User,0
1440,10,10,16,160,1.7777777777777777,17.5,0,Low Engagement User,0
1487,34,34,9,306,2.25,8.382352941176471,2,High-Value Customer,0
1496,25,25,6,150,0.5454545454545454,11.12,0,Low Engagement User,0
1498,33,33,15,495,3.0,9.333333333333334,2,High-Value Customer,0
1503,12,12,6,72,0.1714285714285714,24.25,0,Low Engagement User,0
1519,48,48,4,192,0.1818181818181818,7.458333333333333,2,High-Value Customer,1
1531,49,49,8,392,0.3333333333333333,7.122448979591836,2,High-Value Customer,1
1537,74,74,2,148,0.0363636363636363,4.54054054054054,1,At-Risk Customer,1
1548,14,14,19,266,0.19,9.357142857142858,0,Low Engagement User,0
1549,100,100,4,400,0.2857142857142857,3.02,1,At-Risk Customer,1
1553,46,46,12,552,3.0,7.195652173913044,2,High-Value Customer,1
1578,8,8,5,40,0.1785714285714285,17.5,0,Low Engagement User,0
1579,28,28,10,280,1.0,12.714285714285714,0,Low Engagement User,0
1602,10,10,6,60,0.5,19.3,0,Low Engagement User,0
1615,51,51,13,663,3.25,7.15686274509804,2,High-Value Customer,1
1617,19,19,7,133,1.4,6.526315789473684,0,Low Engagement User,0
1623,21,21,5,105,0.5555555555555556,13.80952380952381,0,Low Engagement User,0
1627,14,14,17,238,3.4,12.785714285714286,0,Low Engagement User,0
1629,37,37,8,296,1.6,9.18918918918919,2,High-Value Customer,0
1630,5,5,15,75,3.75,9.8,0,Low Engagement User,0
1632,4,4,8,32,1.3333333333333333,22.5,0,Low Engagement User,0
1642,20,20,5,100,0.625,8.9,0,Low Engagement User,0
1657,12,12,2,24,0.0606060606060606,14.166666666666666,0,Low Engagement User,0
1658,33,33,3,99,0.15,7.484848484848484,0,Low Engagement User,0
1663,4,4,22,88,5.5,16.5,0,Low Engagement User,0
1666,100,100,7,700,0.7,3.53,1,At-Risk Customer,1
1667,10,10,10,100,2.5,20.6,0,Low Engagement User,0
1672,22,22,9,198,0.45,13.636363636363637,0,Low Engagement User,0
1676,11,11,15,165,0.6818181818181818,16.0,0,Low Engagement User,0
1679,20,20,9,180,0.2093023255813953,17.7,0,Low Engagement User,0
1683,100,100,25,2500,6.25,3.03,1,At-Risk Customer,1
1696,5,5,6,30,0.2608695652173913,15.6,0,Low Engagement User,0
1697,23,23,4,92,0.3636363636363636,14.652173913043478,0,Low Engagement User,0
1710,4,4,13,52,1.625,22.5,0,Low Engagement User,0
1712,21,21,16,336,2.2857142857142856,12.904761904761903,0,Low Engagement User,0
1716,64,64,32,2048,8.0,5.609375,2,High-Value Customer,1
1719,15,15,11,165,2.2,17.066666666666666,0,Low Engagement User,0
1727,41,41,13,533,3.25,8.804878048780488,2,High-Value Customer,0
1737,28,28,11,308,0.6111111111111112,11.0,0,Low Engagement User,0
1743,37,37,5,185,0.8333333333333334,9.72972972972973,2,High-Value Customer,0
1746,10,10,8,80,1.0,15.0,0,Low Engagement User,0
1748,41,41,17,697,1.7,8.707317073170731,2,High-Value Customer,0
1750,36,36,25,900,1.4705882352941178,9.63888888888889,2,High-Value Customer,0
1753,58,58,10,580,0.1333333333333333,6.103448275862069,2,High-Value Customer,1
1756,6,6,2,12,0.2857142857142857,20.5,0,Low Engagement User,0
1764,39,39,7,273,1.75,8.435897435897436,2,High-Value Customer,0
1767,24,24,3,72,0.2142857142857142,14.75,0,Low Engagement User,0
1778,13,13,4,52,0.2857142857142857,16.0,0,Low Engagement User,0
1793,60,60,13,780,3.25,6.05,2,High-Value Customer,1
1815,34,34,16,544,4.0,10.352941176470589,2,High-Value Customer,0
1824,14,14,5,70,0.5,16.142857142857142,0,Low Engagement User,0
1828,18,18,20,360,2.857142857142857,16.333333333333332,0,Low Engagement User,0
1839,6,6,6,36,0.1578947368421052,11.333333333333334,0,Low Engagement User,0
1850,61,61,40,2440,2.0,5.950819672131147,2,High-Value Customer,1
1859,39,39,37,1443,7.4,9.23076923076923,2,High-Value Customer,0
1862,44,44,2,88,0.1428571428571428,5.681818181818182,2,High-Value Customer,0
1866,98,98,9,882,1.2857142857142858,3.653061224489796,1,At-Risk Customer,1
1867,7,7,4,28,0.04,17.285714285714285,0,Low Engagement User,0
1868,100,100,11,1100,2.2,2.71,1,At-Risk Customer,1
1873,7,7,8,56,0.3809523809523809,15.428571428571429,0,Low Engagement User,0
1874,21,21,6,126,0.8571428571428571,11.476190476190476,0,Low Engagement User,0
1899,25,25,57,1425,14.25,13.12,2,High-Value Customer,0
1901,10,10,14,140,2.8,15.3,0,Low Engagement User,0
1920,12,12,41,492,6.833333333333333,13.5,2,High-Value Customer,0
1922,6,6,7,42,0.3181818181818182,18.5,0,Low Engagement User,0
1923,22,22,12,264,0.6666666666666666,14.590909090909092,0,Low Engagement User,0
1930,63,63,6,378,0.6666666666666666,5.079365079365079,1,At-Risk Customer,1
1932,4,4,11,44,0.7333333333333333,20.25,0,Low Engagement User,0
1937,10,10,6,60,0.8571428571428571,9.8,0,Low Engagement User,0
1943,58,58,8,464,1.0,6.258620689655173,2,High-Value Customer,1
1948,52,52,13,676,1.4444444444444444,6.153846153846154,2,High-Value Customer,1
1955,37,37,16,592,2.0,9.81081081081081,2,High-Value Customer,0
1958,100,100,13,1300,2.6,2.86,1,At-Risk Customer,1
1976,12,12,3,36,0.25,10.5,0,Low Engagement User,0
1983,56,56,17,952,1.0,6.5,2,High-Value Customer,1
1989,6,6,22,132,0.5238095238095238,14.833333333333334,0,Low Engagement User,0
1992,36,36,13,468,0.5,5.833333333333333,2,High-Value Customer,0
1993,26,26,10,260,1.6666666666666667,13.26923076923077,0,Low Engagement User,0
2011,48,48,7,336,0.2916666666666667,6.354166666666667,2,High-Value Customer,1
2013,27,27,7,189,1.75,5.296296296296297,0,Low Engagement User,0
2018,8,8,3,24,0.0967741935483871,21.25,0,Low Engagement User,0
2022,35,35,13,455,2.6,6.428571428571429,2,High-Value Customer,0
2033,25,25,10,250,0.9090909090909092,7.72,0,Low Engagement User,0
2049,65,65,3,195,0.3,4.538461538461538,1,At-Risk Customer,1
2053,21,21,1,21,0.2,13.238095238095235,0,Low Engagement User,0
2055,86,86,10,860,0.7692307692307693,4.244186046511628,1,At-Risk Customer,1
2059,5,5,8,40,1.1428571428571428,8.6,0,Low Engagement User,0
2075,32,32,8,256,0.7272727272727273,3.8125,2,High-Value Customer,0
2083,14,14,3,42,0.75,14.5,0,Low Engagement User,0
2084,4,4,2,8,0.1428571428571428,16.25,0,Low Engagement User,0
2086,16,16,13,208,0.8666666666666667,18.5,0,Low Engagement User,0
2092,5,5,1,5,0.1428571428571428,17.0,0,Low Engagement User,0
2103,10,10,1,10,0.1666666666666666,12.2,0,Low Engagement User,0
2115,21,21,2,42,0.1538461538461538,9.476190476190476,0,Low Engagement User,0
2117,20,20,23,460,0.8518518518518519,8.8,2,High-Value Customer,0
2118,27,27,16,432,0.8,11.703703703703704,2,High-Value Customer,0
2121,12,12,19,228,1.7272727272727273,16.333333333333332,0,Low Engagement User,0
2130,39,39,5,195,0.7142857142857143,8.615384615384615,2,High-Value Customer,0
2131,7,7,15,105,1.875,12.285714285714286,0,Low Engagement User,0
2150,18,18,7,126,0.5384615384615384,12.72222222222222,0,Low Engagement User,0
2152,6,6,2,12,0.1111111111111111,19.666666666666668,0,Low Engagement User,0
2160,32,32,13,416,1.8571428571428568,10.28125,2,High-Value Customer,0
2162,32,32,1,32,0.0185185185185185,9.53125,0,Low Engagement User,0
2173,8,8,4,32,0.5,20.75,0,Low Engagement User,0
2175,25,25,12,300,1.5,11.92,0,Low Engagement User,0
2184,38,38,6,228,0.4285714285714285,9.342105263157896,2,High-Value Customer,0
2201,11,11,22,242,2.2,17.181818181818183,0,Low Engagement User,0
2211,56,56,17,952,0.53125,4.696428571428571,2,High-Value Customer,1
2215,61,61,2,122,0.048780487804878,4.475409836065574,1,At-Risk Customer,1
2225,82,82,23,1886,3.2857142857142856,4.378048780487805,1,At-Risk Customer,1
2229,33,33,28,924,1.3333333333333333,9.575757575757576,2,High-Value Customer,0
2237,25,25,4,100,1.0,13.52,0,Low Engagement User,0
2246,18,18,6,108,1.2,19.5,0,Low Engagement User,0
2258,48,48,88,4224,6.285714285714286,7.479166666666667,2,High-Value Customer,1
2262,38,38,11,418,2.2,6.684210526315789,2,High-Value Customer,0
2267,18,18,10,180,0.3448275862068966,14.166666666666666,0,Low Engagement User,0
2278,38,38,16,608,1.3333333333333333,9.447368421052632,2,High-Value Customer,0
2282,22,22,1,22,0.2,10.727272727272728,0,Low Engagement User,0
2286,26,26,13,338,2.6,11.038461538461538,0,Low Engagement User,0
2299,4,4,4,16,1.0,10.75,0,Low Engagement User,0
2312,21,21,11,231,0.3666666666666666,14.904761904761903,0,Low Engagement User,0
2313,30,30,7,210,1.75,11.366666666666667,0,Low Engagement User,0
2315,10,10,2,20,0.1666666666666666,20.3,0,Low Engagement User,0
2329,10,10,6,60,1.0,17.5,0,Low Engagement User,0
2330,6,6,9,54,1.8,19.666666666666668,0,Low Engagement User,0
2334,23,23,5,115,0.1111111111111111,13.347826086956522,0,Low Engagement User,0
2335,45,45,52,2340,1.793103448275862,8.0,2,High-Value Customer,1
2337,4,4,2,8,0.25,22.25,0,Low Engagement User,0
2342,18,18,18,324,3.0,14.38888888888889,0,Low Engagement User,0
2344,90,90,10,900,0.7692307692307693,4.033333333333333,1,At-Risk Customer,1
2366,31,31,3,93,0.4285714285714285,11.64516129032258,0,Low Engagement User,0
2371,27,27,7,189,1.0,6.888888888888889,0,Low Engagement User,0
2375,18,18,6,108,1.5,13.27777777777778,0,Low Engagement User,0
2383,69,69,9,621,1.5,5.260869565217392,1,At-Risk Customer,1
2399,85,85,14,1190,3.5,4.294117647058823,1,At-Risk Customer,1
2408,9,9,6,54,0.1224489795918367,7.0,0,Low Engagement User,0
2420,13,13,30,390,5.0,13.692307692307692,0,Low Engagement User,0
2423,18,18,21,378,1.0,13.444444444444445,0,Low Engagement User,0
2440,46,46,25,1150,2.083333333333333,7.434782608695652,2,High-Value Customer,1
2443,21,21,20,420,2.0,13.238095238095235,0,Low Engagement User,0
2456,54,54,5,270,1.0,5.37037037037037,2,High-Value Customer,1
2461,18,18,7,126,0.2916666666666667,8.0,0,Low Engagement User,0
2462,24,24,32,768,4.0,11.666666666666666,2,High-Value Customer,0
2474,36,36,19,684,1.0555555555555556,9.88888888888889,2,High-Value Customer,0
2475,18,18,6,108,0.24,15.61111111111111,0,Low Engagement User,0
2486,10,10,15,150,1.3636363636363635,17.4,0,Low Engagement User,0
2495,34,34,15,510,0.2678571428571428,10.0,2,High-Value Customer,0
2496,56,56,26,1456,0.8666666666666667,6.5,2,High-Value Customer,1
2514,35,35,4,140,0.6666666666666666,10.428571428571429,2,High-Value Customer,0
2515,6,6,6,36,0.3333333333333333,10.833333333333334,0,Low Engagement User,0
2529,20,20,17,340,0.9444444444444444,9.15,0,Low Engagement User,0
2531,63,63,5,315,1.25,5.301587301587301,1,At-Risk Customer,1
2533,26,26,4,104,0.1904761904761904,6.0,0,Low Engagement User,0
2535,71,71,18,1278,2.571428571428572,5.126760563380282,1,At-Risk Customer,1
2539,51,51,4,204,0.5,6.823529411764706,2,High-Value Customer,1
2542,18,18,5,90,0.7142857142857143,13.11111111111111,0,Low Engagement User,0
2547,6,6,1,6,0.0909090909090909,3.5,0,Low Engagement User,0
2550,42,42,2,84,0.1666666666666666,8.571428571428571,2,High-Value Customer,0
2555,44,44,2,88,0.0465116279069767,8.204545454545455,2,High-Value Customer,0
2556,43,43,1,43,0.25,8.44186046511628,2,High-Value Customer,0
2558,21,21,12,252,3.0,14.142857142857142,0,Low Engagement User,0
2565,12,12,22,264,0.6285714285714286,18.08333333333333,0,Low Engagement User,0
2578,14,14,15,210,3.75,8.714285714285714,0,Low Engagement User,0
2590,18,18,3,54,0.073170731707317,12.5,0,Low Engagement User,0
2593,30,30,28,840,7.0,8.666666666666666,2,High-Value Customer,0
2599,4,4,18,72,1.3846153846153846,20.0,0,Low Engagement User,0
2604,98,98,22,2156,1.8333333333333333,3.5816326530612246,1,At-Risk Customer,1
2609,44,44,6,264,0.25,6.340909090909091,2,High-Value Customer,0
2614,18,18,13,234,2.6,13.0,0,Low Engagement User,0
2627,25,25,10,250,0.4545454545454545,13.8,0,Low Engagement User,0
2638,37,37,13,481,1.8571428571428568,6.783783783783784,2,High-Value Customer,0
2642,10,10,2,20,0.2222222222222222,25.2,0,Low Engagement User,0
2646,61,61,7,427,1.75,5.950819672131147,1,At-Risk Customer,1
2650,63,63,7,441,0.6363636363636364,5.111111111111111,1,At-Risk Customer,1
2655,35,35,6,210,1.2,9.6,2,High-Value Customer,0
2658,71,71,5,355,0.2777777777777778,3.5492957746478875,1,At-Risk Customer,1
2668,19,19,13,247,1.625,8.210526315789474,0,Low Engagement User,0
2676,52,52,18,936,2.571428571428572,7.0,2,High-Value Customer,1
2688,82,82,38,3116,1.0555555555555556,4.426829268292683,1,At-Risk Customer,1
2689,36,36,16,576,0.3333333333333333,8.0,2,High-Value Customer,0
2698,12,12,8,96,1.3333333333333333,13.5,0,Low Engagement User,0
2700,15,15,1,15,0.032258064516129,2.533333333333333,0,Low Engagement User,0
2735,89,89,46,4094,2.7058823529411766,4.078651685393258,1,At-Risk Customer,1
2739,7,7,6,42,0.4,22.428571428571427,0,Low Engagement User,0
2754,16,16,5,80,0.4545454545454545,3.625,0,Low Engagement User,0
2758,9,9,6,54,1.5,7.888888888888889,0,Low Engagement User,0
2776,20,20,19,380,1.0,11.55,0,Low Engagement User,0
2777,19,19,6,114,0.3157894736842105,14.842105263157896,0,Low Engagement User,0
